alcohol abuse	Alcoholic Intoxication	
focal	focal motor epilepsy	
focal	focal motor seizure	
focal	focal motor seizures	
focal	focal myoclonus	
focal	focal myoclonus (finding)	
focal	focal onset epilepsy	
focal FBTC 	focal onset generalised tonic-clonic seizures	
focal FBTC 	focal onset tonic-clonic seizures	
malformations of cortical development	Focal polymicrogyria	
focal	focal secondary generalised seizures	
focal	focal seizure	
focal	Focal seizure with altered awareness	
focal	Focal seizures with impairment of consciousness or awareness	
focal	focal Sensory Seizure	
focal	focal status epilepticus	
focal	Focal symptomatic epilepsy	
focal FBTC	focal to bilateral convulsive seizure	
focal FBTC	focal to bilateral convulsive seizures	
focal FBTC	focal to bilateral tonic clonic seizure	
focal FBTC	focal to bilateral tonic clonic seizures	
focal FBTC	focal to bilateral tonic-clonic seizure	
focal	focal tonic seizures	
brain injury	focal traumatic brain injury	
focal	focal-to-bilateral tonic clonic seizure	
alcohol	former drinker	
comorbidity  	Frontal cortical atrophy	
focal	frontal lobe complex partial seizure	
focal	frontal lobe epilepsy	
focal	frontal lobe onset seizure	
C0162672	fukuhara disease	
gabapentin ASM	Gabapentin	
C1562503	galen malformations veins	
C0206716	Ganglioglioma	
C0270820	gelastic epilepsies	
C0270820	gelastic seizure	
C0270820	gelastic seizures	
C0234533	generalised convulsion	
C0234533	generalised convulsions	
generalised 	generalised epilepsy	
generalised	generalised epilepsy with eyelid myoclonia	
	generalised fit	
C0234533	generalised fits	
generalised	generalised idiopathic epilepsy and epileptic syndromes	
generalised	generalised onset seizures	
C0234533	generalised seizure	
generalised	generalised seizure disorder	
C0234533	generalised seizures	
C0494475	generalised tonic clonic seizure	
C0009952	generalised tonic clonic seizure associated with fever	
C0494475	generalised tonic clonic seizures	
C0009952	generalised tonic clonic seizures associated with fever	
C0270844	Generalised tonic seizure	
C0270844	Generalised tonic seizures	
C0494475	generalised tonic-clonic seizure	
C0494475	generalised tonic-clonic seizures	
C4476643	generalised-onset bilateral tonic-clonic seizures	
generalised	generalised-onset seizures	
C0234533	generalized convulsion	
generalised	generalized convulsive epilepsy	
C0234533	generalized fit	
C0270850	generalized idiopathic epilepsy and epileptic syndromes nos	
generalised	generalized onset seizure disorder	
C0234533	generalized seizure (finding)	
C0038220	generalized status epilepticus	
C0494475	generalized tonic clonic seizure	
C0494475	generalized tonic clonic seizures	
C0494475	generalized tonic-clonic seizures	
focal FBTC 	generalized tonic-clonic seizures with focal onset	
C0234533	Generalized-onset seizure	
Focal and/or generalized syndrome	genetic epilepsy with febrile seizures plus	
C0270850	genetic generalised epilepsy	
C0270850	genetic generalized epilepsy	
C1997857	germ cell tumor of the brain	
C1997857	germ cell tumor of the brain (disorder)	
C1997857	germ cell tumour of the brain	
generalised	GGE	
brain tumour	glial cell tumor	
brain tumour	glial cell tumors	
brain tumour	glioma	
brain tumour	glioneuronal tumour	
MRI abnormal	gliosis	
LD	global developmental delay	
C1847501	glut1 deficiency syndrome	
C0268226	glycoprotein neuraminidase deficiency	
C0494475	grand mal	
C0494475	grand mal convulsion	
generalised	grand mal epilepsy 	
C0266491	gray matter heterotopia	
C0574080	Guanidinoacetate methyltransferase deficiency	
C0278192	gustatory partial seizure	
C0278192	gustatory partial seizures	
C0278192	gustatory partial seizurse   	
C0278192	gustatory seizure	
C0022739	haemangiectatic hypertrophy	
C0024454	haemangiomata with dyschondroplasia	
C0029438	haemangiomata with osteolysis	
C0024454	haemangiomata+dyschondroplasia	
C0019080	haemorrhage	
C0472369	haemorrhagic cerebral infarct	
C0472369	haemorrhagic cerebral infarction	
C0278188	hallucination seizure	
C0018552	hamartoma	
C0018552	hamartoma (disorder)	
C0018552	hamartoma (morphologic abnormality)	
C0349611	hamartoma of brain	
C0349611	hamartoma of brain (disorder)	
C0342424	hamartoma of pituitary and hypothalamus	
C0342424	hamartoma of pituitary and hypothalamus (disorder)	
C0342424	hamartoma pituit/hypothalamus	
C0018552	hamartomas	
C0018592	happiness	
C0162635	Happy puppet syndrome	
C0393639	Hashimoto's encephalitis	
C0497301	head injuries	
C0497301	head injury	
C0497301	head injury other	
C0149931	headache with migraine	
C0149931	headaches with migraine	
C1384666	hearing impairment	
C1384666	hearing loss	
C0018794	Heart Block	
C0271202	Hemianopsia Homonymous	
C1846620	hemiclonic seizures	
C0018989	hemiparesis	
C4545231	Hemiparkinsonism hemiatrophy syndrome	
C0750935	hemisphere astrocytoma	
C2937358	hemorrhage of cerebrum	
C0340834	hennekam lymphag-lymphed synd	
C0340834	hennekam lymphangiectasia lymphedema syndrome	
C0520557	hepatic arteriovenous malformation	
C1835614	hereditary hyperekplexia	
C0276226	herpes encephalitis	
C0266491	heterotopic grey matter	
C0033148	Hexamidinum	
structural brain abnormality EE	hippocampal sclerosis	
MRI abnormal	hippocampal sclerosis	
neuropathological condition	hippocampal sclerosis	
C2921031	hippocampectomy	
C0221628	history of alcohol abuse	
C0019693	HIV Infections	
C1835614	hkpx1	
C0600142	Hot flushes	
C0007761	hunt's disease	
C0020208	Hydantoin	
C0020208	Hydantoin antiepileptic	
C0020208	Hydantoin derivative anticonvulsant	
C0020208	Hydantoin derivative anticonvulsant (product)	
C0020255	hydrocephalus	
C0393625	hyoid myoclonus	
C0234166	hyperekplexia	
C1835614	hyperekplexia, hereditary 1	
C0234166	hyperekplexias	
C0234166	hyperexplexia	
C0020538	hypertension	
C0020538	hypertensive disease	
C2732862	hypnic jerk	
C2732862	hypnic twitch	
C0020615	hypoglycaemia	
C0020615	hypoglycaemic	
C0392475	hypomel-hypotrich-facial haem	
C0392475	hypomelia hypotrichosis facial haemangioma syndrome	
C0392475	hypomelia-hypotrichosis-facial haemangioma syndrome	
C0392475	hypomelia-hypotrichosis-facial hemangioma syndrome	
C0020626	hypoparathyroidism	
C0265867	hypoplasia of cardiac vein	
C0020655	hypothalamic dis	
C0020655	hypothalamic diseases	
C0342417	hypothalamic mass	
C0338598	hypothalamic neuronal hamartom	
C0338598	hypothalamic neuronal hamartoma	
C0020655	hypothalamus disorder	
C0020655	hypothalamus disorders	
C0020676	hypothyroidism	
C0559478	hypoxia during a long birth	
C0559478	hypoxia during birth	
C0752304	hypoxic ischaemic brain injury	
C0752304	hypoxic ischaemic encephalopathy	
C0752304	hypoxic ischemic brain injury	
C0752304	hypoxic-ischemic encephalopathies	
C0752304	hypoxic-ischemic encephalopathy	
C0037769	hypsarrhythmia	
C0020699	hysterectomy	
cerebrovascular	ICH	
idiopathic generalised epilepsy	idiopathic generalised epilepsy	
comorbidity	idiopathic intracranial hypertension	
comorbidity	idiopathic parkinson disease	
idiopathic generalised epilepsy	IGE	
C0270850	IGE	
comorbidity	IHD	
comorbidity	IIH	
C0234428	impaired consciousness	
C3665347	Impaired vision	
generalised	impulsive petit mal epilepsy	
C0270853	impulsive petit mal of janz	
C4510564	infant epilepsy with migrant focal crisis	
C0037769	infant spasms - hypsarrythmia	
Infantile epileptic spasms syndrome DEE	infantile spasm	
Infantile epileptic spasms syndrome DEE	infantile spasms - hypsarrhythmia	
stroke	infarct cerebral	
stroke	infarction - cerebral	
C1264609	Infectious disease of brain	
C0270611	injuries, brain	
C0005604	injury in the perinatal period	
C0270611	injury, brain	
C0011848	insipidus diabetes	
diabetes comorbidity	insulin-dependent diabetes	
C3714756	Intellectual Disability	
cerebrovascular	intracerebral bleed	
cerebrovascular	intracerebral bleeds	
cerebrovascular	intracerebral haematoma	
cerebrovascular	intracerebral haemorrhage	
cerebrovascular	intracerebral hematoma	
C2937358	intracerebral hemorrhages	
cerebrovascular	intracerebral hemorrhages	
C0270611	intracerebral injury	
C0270611	intracerebral injury nos	
comorbidity - cerebrovascular	intracranial arteriovenous malformation	
comorbidity - cerebrovascular	intracranial avm	
C0151699	intracranial bleed	
C0151699	intracranial bleeding	
C4021250	Intracranial cystic lesion	
C3665419	intracranial glioma	
C3665419	intracranial glioma (disorder)	
C0151699	intracranial haemorrhage	
C0151699	intracranial hemorrhage	
brain infection	intracranial infection	
brain infection	intracranial infections	
C0349604	intracranial meningioma (disorder)	
C0349604	intracranial meningiomas	
C1263852	intracranial sinus thrombosis, embolism and/or inflammation	
C0007820	intracranial vascular dis	
C0007820	intracranial vascular disease	
C0007820	intracranial vascular diseases	
C0007820	intracranial vascular disorder	
C0007820	intracranial vascular disorders	
C0007820	intracranial vascular disorders intracranial	
C3662031	intractable absence seizures	
C3661861	intractable acquired epileptic aphasia	
generalised	intractable dravet syndrome 	
C1096063	intractable epilepsies	
C1096063	intractable epilepsy	
C1836402	intractable myoclonic seizure   	
C2875141	intractable unspecified epilepsy	
C0345042	intrapulm arterioven fistula	
C0345042	intrapulmonary arteriovenous fistula	
C0345042	intrapulmonary arteriovenous fistula (disorder)	
C0007798	intraventricular neopl	
C0007798	intraventricular neoplasm	
C0007798	intraventricular neoplasms	
C0156404	irregular menstruation	
C0038435	is stressed	
C0007786	ischaemic damage left frontal lobe	
C0007786	ischaemic damage left inferior frontal lobe	
C0007786	ischaemic damage right frontal lobe	
C0007786	ischaemic damage right inferior frontal lobe	
cardiovascular comorbidity 	ischaemic heart disease	
C0151744	ischaemic heart disease	
C0948008	ischaemic stroke	
C0752304	ischemic hypoxic enceph	
C0752304	ischemic hypoxic encephalopathy	
C0948008	ischemic stroke	
C0948008	ischemic stroke (disorder)	
C0752304	ischemic-hypoxic encephalopathies	
C0752304	ischemic-hypoxic encephalopathy	
C0070072	Isoethadione	
C0022333	Jacksonian seizure	
C0022333	Jacksonian seizures	
generalised IGE	JAE	
C0270853	janz impulsive petit mal	
C0270853	janz juvenile myoclonic epilepsy	
C4274731	jeavons syndrome	
C4274731	jeavons' syndrome	
C0231530	jerk	
C0231530	jerking episodes	
C0231530	jerks	
JME IDE	JME	
JME IDE	JME - juvenile myoclonic epilepsy	
generalised IGE	juvenile absence epilepsy	
C0751383	juvenile batten disease	
C0751383	juvenile cerebroretinal degeneration	
JME IDE	juvenile myoclonic epilepsy	
Levetiracetam ASM 	Keppra	
C0022739	klippel trenaunay weber syndrome	
C0022739	klippel-tr?? ??naunay-weber syndrome	
C0022739	klippel-trenaunay disease	
C0022739	klippel-trenaunay syndromes	
C0085543	kojevnikov's epilepsies	
C0085543	kojewnikov epilepsy	
C0085543	kojewnikow syndrome	
C0085543	kojewnikow's syndrome	
C1864871	koolen de vries syndrome	
C1864871	koolen syndrome	
C0085543	kozhevnikov syndrome	
C0085543	kozhevnikov's syndrome	
C0022739	kts	
C0022739	ktw syndromes	
C0406740	ktzs	
C0557874	lack of psychomotor development	
ASM	lacosamide	
C0344660	laevoatrial cardinal vein	
lamotrigine ASM	Lamictal	
Lamotrigine - ASM	lamotrigine	
C0282512	Landau-Kleffner syndrome	
C3829315	late preterm birth	
LD comorbidity 	learning difficulties	
LD comorbidity 	learning difficulty	
C0751265	learning disabilities	
C0751265	learning disability	
C0344660	left atrium to innominate vein	
C0457434	left hemiplegia	
C0586325	left sided cerebral hemisphere cerebrovascular accident	
C0586325	left sided cerebral hemisphere cerebrovascular accident (disorder)	
C0586325	left sided cva	
C0457434	left sided hemiplegia	
C2026259	left temporal lobe lesion	
C4551359	left vertebral artery embolism with stroke	
cerebrovascular stroke	left vertebral artery thrombosis with stroke	
C0457434	left-sided hemiplegia	
DEE	Lennox-Gastaut syndrome	
DEE	Lennox Gastaut syndrome	
C0221505	lesion of brain	
C0472349	lesional epilepsy	
C0948163	Leukoaraiosis	
levetiracetam ASM	Levetiracetam	
C0344660	levoatrial cardinal vein	
C0030567	lewy body parkinson disease	
C0030567	lewy body parkinson's disease	
C0037769	lightning attack	
C0037769	lightning attacks	
C0037769	lightning spasms	
C0520557	liver arteriovenous malformation	
C0425078	lives in own home	
ASM	Llacosamide	
C0393691	Lobe Epilepsy, Occipital	
C0221505	lobe lesion	
C0195961	lobectomy of brain	
C0751495	local convulsion	
C0751495	local seizure	
C0751495	local seizures	
C0752324	Local tonic seizures	
C0472349	localisation based symptomatic epilepsy	
C0751495	localisation related seizures	
C0472348	localisation-related idiopathic epilepsy	
C0472349	localisation-related symptomatic epilepsy	
C0472349	localis-relat symptom epilepsy	
C0472348	localis-relatd idiopath epilep	
focal	localization related epilepsy	
C0751495	localization related seizure	
focal	localization-related epilepsy	
C0472348	localization-related idiopathic epilepsy	
C0752323	localized clonic seizures	
C0041657	loss of consciousness	
C0586325	lt cerebral hemisphere cva	
C0340834	lymphangiectasies and lymphedema hennekam type	
C0024454	maffucci syndrome (disorder)	
C0024454	maffucci's anomalad	
C0024454	maffucci's syndrome	
C0024454	maffuci's syndrome	
C0024480	Magnesium sulfate	
C4518413	Magnesium sulfate I.V	
C4518413	Magnesium sulfate in parenteral dosage form	
C0024480	Magnesium sulphate	
C4518413	Magnesium sulphate I.V	
C0014549	major motor seizure	
C0014549	major motor seizure disorder	
C0441471	major ones	
C0003857	arteriovenous malformation	
C0153633	malignant brain neoplasms	
C0153633	malignant brain tumor	
C0153633	malignant brain tumour	
cancer comorbidity 	malignant neoplasm	
C0153633	malignant neoplasm of brain	
C0346903	malignant neoplasm of cerebrum	
C0153642	malignant neoplasm of other parts of brain	
C2118558	malignant neoplasm of temporal lobe of brain	
C0153633	malignant neoplasms of brain	
C0153633	malignant neoplasms of brain	
C0750979	malignant primary brain neoplasms	
C0750979	malignant primary brain tumors	
C2026258	mass lesion of temporal lobe	
C2026259	mass lesion of temporal lobe on left	
C2026260	mass lesion of temporal lobe on right	
C0342417	mass of hypothalamus	
C0029438	massive osteolyses	
C4039921	mastoid fracture	
C0740392	MCA infarct	
C0740392	MCA stroke	
C0025007	measles	
C1096063	medication resistant epilepsies	
C1096063	medication resistant epilepsy	
C1855305	megalocornea, multiple skeletal anomalies, and developmental delay	
C0162671	melas	
C0233794	memory impairment	
C0349604	meningioma	
C0349604	meningioma of brain	
C0346328	meningioma of optic nerve sheath	
C0346328	meningioma optic nerve sheath	
C1096493	meningioma surgery	
tumour	intracranial meningioma	
C0025289	meningitic	
C0025289	meningitis	
C0038505	meningo oculo facial angiomatosis	
C0038505	meningofacial angiomatosis-cerebral calcification syndrome	
C0038505	meningo-oculo-facial angiomatosis	
C0025320	Menopause	
C0025344	Menorrhoea	
C0025344	Menses	
C0025329	Menstrual cycle	
catamenial epilepsy	menstrual epilepsy	
C0025344	Menstruation	
C0004936	mental disorders	
C0004936	mental health disorder	
C0004936	mental illness	
C2931381	mental retardation x-linked, tranebjaerg type seizures and psoriasis	
C0025381	Mephenytoin	
C0025382	Mephobarbital	
C0025382	Mephobarbital product	
C0162672	merff syndrome	
C0162672	merrf - myoclonic epilepsy - ragged red fibers	
focal syndrome 	mesial temporal lobe epilepsy with hippocampal sclerosis	
MRI abnormal	mesial temporal lobe sclerosis	
neuropathological condition	mesial temporal lobe sclerosis	
neuropathological condition	mesial temporal sclerosis	
C0109002	Mesuximide	
C0025381	Methoin	
C0109002	methsuximide	
C0301399	Methyl phenyl ethyl hydantoin	
C0301399	Methyl phenyl ethyl hydantoin (substance)	
C0025382	MethylphenobarbitalC0025382	
C0025381	Methylphenylethylhydantoin	
myocardial infarction - cardiovascular	MI	
C0025958	microcephaly	
C0424688	Microcephaly	
C0025958	micro-cephaly	
C4509817	microcephaly, seizure, intellectual disability, heart disease syndrome	
C0026056	midazolam	
C0740392	Middle Cerebral Artery infarction	
C0149931	migraine	
C4518466	migraine-induced stroke	
C0149931	migraines	
C0149931	migrainous headache	
C0149931	migrainous headaches	
C0751651	mitochondrial diseases	
C0751651	mitochondrial disorder	
C0751651	mitochondrial disorders	
C0162671	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes	
C0162671	mitochondrial encephalopathy, lactic acidosis and stroke-like episodes	
C0162671	mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes	
C0162671	mitochondrial myopathy, lactic acidosis, stroke-like episode	
C0085084	MND	
C4054482	moderate to late preterm birth	
C1864871	monosomy 17q21.31	
C0085084	motor neuron disease	
C0016399	motor partial seizure disorder	
C0016399	motor seizure	
C0016399	motor seizure disorder	
C0016399	motor seizures	
C0085543	motor simple partial status	
C1319851	MRI abnormal	
C0026769	ms	
C0268226	mucolipidosis type 1	
C1833434	Multifocal cerebral white matter abnormalities	
C0024454	multiple angiomas and endochondromas	
C0024454	multiple enchondromata with haemangioma	
C0024454	multiple enchondromata with hemangioma	
C0024454	multiple enchondromatosis, maffucci type	
C0451948	Multiple Head Injuries	
multiple sclerosis	multiple sclerosis	
C0231530	muscle twitch	
myocardial infarction - cardiovascular	myocardial infarct	
myocardial infarction - cardiovascular	myocardial infarction	
C0151744	myocardial ischaemia	
C4023512	myoclonic absence	
C0393703	myoclonic absence epilepsy	
C0393703	myoclonic absence seizure	
C0393703	myoclonic absence seizures	
C4023512	myoclonic absences	
C0393702	myoclonic astatic epilepsy	
C0393702	myoclonic astatic epilepsy 	
C0393702	myoclonic atonic seizure	
C0393702	myoclonic atonic seizures	
C0007761	myoclonic cerebellar dyssynergia	
C0007761	myoclonic cerebellar dyssynergias	
C0438414	Myoclonic Encephalopathy	
C0014550	myoclonic epilepsy	
C0162672	myoclonic epilepsy - ragged red fibres	
C0162672	myoclonic epilepsy and ragged red fibers	
C0162672	myoclonic epilepsy associated with ragged red fibers	
generalised	myoclonic epilepsy in infancy	
C0162672	myoclonic epilepsy with ragged red fibers	
C0270855	myoclonic epilepsy, neonatal, with suppression-burst pattern	
C4317123	myoclonic epileptic seizure	
C4317123	myoclonic epileptic seizures	
C0027066	myoclonic jerk	
C0027066	myoclonic jerking	
C0027066	myoclonic jerks	
C4317123	myoclonic seizure	
C4317123	myoclonic seizure disorder	
C4317123	myoclonic seizures	
C0393702	myoclonic-atonic seizure	
C0393702	myoclonic-atonic seizures	
C0027066	myoclonus	
C2711743	myoclonus associated with fever	
C0268226	myoclonus cherry red spot syndrome	
C1960877	myoclonus of stapedius muscle	
C1998254	myoclonus of tensor tympani muscle	
C1998254	myoclonus tensor tympani muscle	
C0162672	myoclonus with epilepsy and with ragged red fibers (merrf syndrome)	
C0162672	myoclonus with epilepsy with ragged red fibers	
comorbidity	myoclonus	
C0268226	myoclonus-cherry red spot syndrome	
C0162672	myoencephalopathy ragged red fiber disease	
C0162671	myopathy, mitochondrial-encephalopathy-lactic acidosis-stroke
C0700016	Mysolin	
C0700016	Mysoline	
FDS	NEAD	
brain injury comorbidity	neonatal asphyxia	
C1299567	neonatal cerebral infarction	
C0270851	neonatal convulsion, benign	
C0159020	neonatal convulsions	
C0270851	neonatal convulsions, benign
C0270851	neonatal epilepsies, benign	
C0270851	neonatal epilepsy, benign	
C0021709	neonatal intensive care	
C0159020	neonatal seizures	
C1299567	neonatal stroke	
C0027651	neoplasm	
C0677866	neoplasm of brain stem	
C0007798	neoplasm of brain ventricular	
C0677866	neoplasm of brainstem	
comorbidity - brain tumour	neoplasm of cerebellum	
C1263890	neoplasm of cerebral meninges	
C0007798	neoplasm of cerebral ventricle	
C0007798	neoplasm of cerebroventricular	
C1263885	neoplasm of cerebrum	
C0007798	neoplasm of intraventricular	
C0751728	neoplasm of optic nerve and sheath	
C0031941	neoplasm of pineal	
C0031941	neoplasm of pineal gland	
C1263887	neoplasm of temporal lobe	
C0027651	neoplasms	
C0677866	neoplasms of brain stem	
C0007798	neoplasms of brain ventricular	
C0677866	neoplasms of brainstem	
C0007798	neoplasms of cerebral ventricle	
C0154129	neoplasms of uncertain behaviour	
C0007798	neoplasms, ventricular, brain	
C0154129	neoplastic disease of uncertain behaviour	
C0221571	Nervous system problem	
C0268226	neuraminidase deficiency	
C0338437	neurocysticercosis	
C1622510	neurocytoma	
C1622510	neurocytomas	
C2751584	Neurodegeneration Due To Cerebral Folate Transport Deficiency	
C0334594	neuroepitheliomatous neoplasm	
C0027831	neurofibromatosis 1	
C0027832	neurofibromatosis 2	
C0027831	neurofibromatosis type I 	
C0027832	neurofibromatosis type II	
C0346291	neuronal and mixed neuronal - glial tumor of brain	
C0346291	neuronal and mixed neuronal - glial tumour of brain	
C0474844	neuronal and mixed neuronal-glial tumour	
C0751383	neuronal ceroid lipofuscinosis juvenile type	
C0751383	neuronal ceroid-lipofuscinosis, cln3-related	
C0266491	neuronal heterotopia	
C0038505	neuroretinoangiomatosis	
C0027831	NF1	
C3665337	no problems at birth	
C0557874	no psychomotor development	
C0748605	nocturnal seizures	
FDS	non epileptic attack	
FDS	non epileptic attacks	
FDS	non epileptic seizure disorder	
C0393733	non-convulsive simple partial status epilepticus	
C0270823	non-convulsive status epilepticus wth impaired consciousness	
FDS	non-epileptic attack	
FDS	non-epileptic attacks	
FDS	non-epileptic psychogenic seizures	
C3495874	non-epileptic seizure	
C3495874	non-epileptic seizures	
diabetes comorbidity 	non-insulin dependent diabetes	
diabetes comorbidity 	non-insulin dependent diabetes mellitus	
C0265112	nonparalytic stroke	
C4551371	nonpyogenic cerebral venous thrombosis with stroke	
C3661862	non-refractory acquired epileptic aphasia
C4076297	nontraumatic ruptured cerebral aneurysm	
C3665337	normal birth	
C0744602	normal CT	
C0560017	normal EEG	
C0020258	Normal Pressure Hydrocephalus	
C0268226	normosomatic sialidosis	
C1277595	not sleeping well	
C0028738	nystagmus	
C4302879	obesity, colitis, hypothyroidism, cardiac hypertrophy, developmental delay syndrome	
C0028768	obsessive compulsive disorder	
C0028768	obsessive-compulsive disorder	
C0556298	occasional drinker	
focal	Occipital lobe epilepsy	
C3809094	occipital lobe infarct	
focal	occipital lobe onset seizure	
focal	occipital lobe onset seizures	
focal	occipital lobe seizure	
focal	occipital lobe seizures	
C1263889	occipital tumour	
C0028790	occlusion of cerebral arteries	
C0028790	occlusion of cerebral artery	
C1298680	occlusive stroke	
C0424531	odd episode	
C0424531	odd episodes	
C0393706	Ohtahara syndrome	
C0422853	olfactory seizure	
C0422853	olfactory seizures	
C0518454	open head injury	
C0393626	opsoclonus myoclonus ataxia	
C0393626	opsoclonus myoclonus syndrome	
C0155308	opt chiasm w pituit dis	
C0029124	Optic Atrophy	
C0346328	optic nerve sheath meningioma	
C0751728	optic nerve sheath neopl	
C0751728	optic nerve sheath neoplasm	
C0751728	optic nerve sheath tumors	
C0423462	opticociliary shunt vessels	
C0423462	opticociliary vessels	
C4302824	osteogenesis imperfecta, retinopathy, seizures, intellectual disability syndrome	
C0029438	osteolyses, massive	
C0029438	osteolysis and angiomatous naevi	
C0029438	osteolysis and angiomatous nevi	
C0393618	other specified myoclonus	
catamanial epilepsy	outism	
C0304361	Oxazolidinedione	
C0304361	Oxazolidinediones	
C0069751	oxcarbazepine	
C0030214	palatal nystagmus	
C0393624	palatal-tympanic myoclonus	
C0393676	panayiotopoulos syndrome	
C0030438	Paracetaldehyde	
C0030438	Paraldehyde	
C0030438	Paraldehyde product	
C1263853	paralytic stroke	
C0070072	Paramethad	
C0070072	paramethadione	
C0030463	paramyoclonus multiplex	
C0030508	parasomnia	
C4518413	Parenteral form magnesium sulfate	
C4518413	Parenteral form magnesium sulphate	
C4518413	Parenteral form magnesium sulphate product	
C4518413	Parenteral magnesium sulfate	
C4518413	Parenteral magnesium sulfate product	
C4518413	Parenteral magnesium sulphate	
C4518413	Parenteral magnesium sulphate product	
C0360121	Parenteral phenobarbitone	
C4039814	parietal lobe complex partial seizure	
C0393690	Parietal lobe epilepsy	
C0393690	parietal lobe onse seizures	
C0393690	parietal lobe onset seizures	
C0393690	parietal lobe seizure	
C0393690	parietal lobe seizures	
C0038505	parkes-weber syndrome	
C0242422	parkinsonian disorders	
C0242422	parkinsonism	
C0030567	parkinsons disease	
C0030567	parkinson's disease	
C0030567	parkinson's disease idiopathic	
C0030567	parkinson's syndrome	
C1868682	Paroxysmal kinesigenic choreoathetosis	
C0158634	part anom pulm ven conn	
C0158634	part anom pulm vn connection	
C2237348	partial adversive seizure	
C0751495	partial afebrile seizures	
C0158634	partial anomalous pulmonary venous connection	
C0158634	partial anomalous pulmonary venous return	
C0752323	Partial clonic seizures	
C0149958	Partial complex seizure	
C0149958	Partial complex seizures	
focal	partial epilepsy	
C0234974	partial epilepsy without impairment of consciousness	
C0234974	partial epilepsy without mention of impairment of consciousness	
focal	partial epilepsy, complex	
C4039814	Partial epileptic seizures of parietal lobe with impairment of consciousness	
C0016399	partial motor attacks	
C0016399	partial motor epilepsy	
C0016399	partial motor seizure 	
C0016399	partial motor seizures   	
focal	partial onset epilepsy	
focal	partial seizure	
focal	partial seizures    	
focal	partial seizure with illusions and hallucinations	
focal	partial seizure with impaired consciousness	
C0278203	partial seizure with multiple symptoms	
focal	gustatory partial seizure
focal	visual partial seizure
focal	simple partial seizures	
C0752324	Partial tonic seizures	
C0344681	partial unroofed coron sinus	
C0344681	partially unroofed coronary sinus	
C1849508	pde	
C0030883	Pentobarbital	
C0030883	Pentobarbitone	
C0030883	Pentobarbitone - chemical	
C2698764	perampanel	
C0344925	Perimembranous ventricular septal defect	
C0475802	perinatal anoxic-ischaemic brain injury	
C0475802	perinatal anoxic-ischemic brain injury	
C0559478	perinatal hypoxia	
C0475802	perinatal hypoxic - ischaemic encephalopathy	
C0475802	perinatal hypoxic - ischemic encephalopathy	
C0005604	perinatal injury	
C0005604	perinatal insult	
C0456798	perinatal trauma	
C0495524	peripheral arteriovenous malformation	
C0495524	peripheral arterio-venous malformation	
C3839028	peripheral venous malformation	
comorbidity	personality disorder	
generalised	petit mal	
generalised	petit mal epilepsy	
generalised	petit mal status epilepticus	
generalised	petit-mal	
generalised	Petit-mal epilepsy	
C1857495	pfeiffer singer zschiesche syndrome	
C1857495	pfeiffer syndrome 2	
C1857495	pfeiffer-type cardiocranial syndrome	
C0038505	phakomatosis, sturge-weber	
C0029438	phantom bone disease	
C0070525	phenacemide	
C0059837	Pheneturide	
C0031412	Phenobarbital 	
C0031412	Phenobarbitone	
C0070592	phensuximide	
C0070525	Phenylacetylcarbamide	
C0070525	Phenylacetylurea	
C0031507	Phenylhydantoin	
C1445641	Phenyltriazine derivative anticonvulsant	
C1445641	Phenyltriazine derivative anticonvulsant (substance)	
Phenytoin - ASM	phenytoin	
focal or generalized	photic epilepsy	
focal or generalized	photogenic epilepsy	
C0393722	photomyoclonus	
EEG abnormal	photoparoxysmal response on EEG	
focal or generalized	photosensitive epilepsy	
focal or generalized	photosensitive reflex epilepsies	
EEG abnormal	photosensitivity 	
C0031941	pineal gland neoplasm	
C0031941	pineal gland tumor	
C0031941	pineal gland tumors	
C0031941	pineal neoplasm	
C0031941	pineal neoplasms	
C0031941	pineal parenchymal tumor	
C0031941	pineal parenchymal tumors	
C0031941	pineal tumors	
C0031941	pineal tumour	
C0031941	pinealoma	
C0031941	pinealomas	
C0031977	Piracetam	
C0342420	Pituitary cyst	
C0032019	pituitary gland tumour 	
C0032019	pituitary neoplasm	
C0038505	pkws	
C1864723	pnpod	
malformations of cortical development	Polymicrogyria	
seizure trigger	poor sleep pattern	
C4082172	porencephalic cyst	
C3697594	post cerebrovascular accident epilepsy	
C2832052	post traumatic damage to the left frontal lobe	
C2832052	post traumatic damage to the right frontal lobe	
C0014557	post traumatic epilepsy	
C0014557	post traumatic epilepsytraumatic	
C2921125	post traumatic seizure	
C0014557	post traumatic seizure dis	
C0014557	post traumatic seizure disorder	
C2921125	Post traumatic seizures	
C0038436	Post traumatic stress disorder	
C3697594	post-cerebrovascular accident epilepsy	
C0457230	post-hysterectomy menopause	
C2832052	post-traumatic damage to the left frontal lobe	
C2832052	post-traumatic damage to the right frontal lobe	
C0014557	post-traumatic epilepsies	
C0014557	post-traumatic epilepsy	
C2921125	post-traumatic seizure	
C0014557	post-traumatic seizure disorder	
C2921125	post-traumatic seizures	
C0038436	Post-traumatic stress disorder	
C0234378	postural tremor	
C0071754	potassium bromide	
C0151526	pre term	
C0657912	pregabalin	
C0657912	Pregabalin (product)	
C0657912	Pregabalin (substance)	
C0085207	pregnancy-induced diabetes	
